,Carro,Aceleração X,Aceleração Y,Aceleração Z,RPM,Velocidade,Temperatura Motor,Flags,State of Charge,Temperatura CVT,Volts,Latitude,Longitude,Timestamp
0,MB2,3.966586,0.018361000000000002,1.001803,0.0,0.0,20,0,0,0,0,0,0,0
1,MB2,3.964634,0.024339,1.001742,0.0,0.0,20,8,0,0,0,0,0,0
2,MB2,3.965976,0.018422,1.016565,0.0,0.0,21,8,0,0,0,0,0,0
3,MB2,3.945663,0.020007999999999998,1.003267,0.0,0.0,21,8,0,0,0,0,0,0
4,MB2,3.961706,0.020191,1.012356,0.0,0.0,20,8,0,0,0,0,0,0
5,MB2,3.9706729999999997,0.027206,1.019188,0.0,0.0,20,8,0,0,0,0,0,0
6,MB2,3.9649389999999998,0.015799,1.007476,0.0,0.0,20,8,0,0,0,0,0,0
7,MB2,3.967135,0.020862,1.01138,0.0,0.0,21,8,0,0,0,0,0,0
8,MB2,3.9676839999999998,0.021227999999999997,1.0124170000000001,0.0,0.0,21,8,0,0,0,0,0,0
9,MB2,3.967196,0.021594000000000002,1.0124170000000001,0.0,0.0,21,8,0,0,0,0,0,0
10,MB2,3.9679279999999997,0.020557,1.01199,0.0,0.0,21,8,0,0,0,0,0,0
11,MB2,3.968111,0.020801,1.011868,0.0,0.0,21,8,0,0,0,0,0,0
12,MB2,3.967501,0.020739999999999998,1.0096720000000001,0.0,0.0,20,8,0,0,0,0,0,0
13,MB2,3.967074,0.020191,1.0118070000000001,0.0,0.0,20,8,0,0,0,0,0,0
14,MB2,3.9673179999999997,0.021106,1.011258,0.0,0.0,19,8,0,0,0,0,0,0
15,MB2,3.9688429999999997,0.019093,1.010221,0.0,0.0,19,8,0,0,0,0,0,0
16,MB2,3.9676839999999998,0.019032,1.01016,0.0,0.0,21,8,0,0,0,0,0,0
17,MB2,3.9726859999999995,0.016957999999999997,1.016016,0.0,0.0,20,8,0,0,0,0,0,0
18,MB2,3.9774439999999998,0.015799,0.994422,0.0,0.0,20,8,0,0,0,0,0,0
19,MB2,3.992206,3.992511,1.021994,0.0,0.0,20,8,0,0,0,0,0,0
20,MB2,3.9654879999999997,0.022021000000000002,1.00894,0.0,0.0,19,8,0,0,0,0,0,0
21,MB2,3.961706,0.024461,1.019249,0.0,0.0,20,8,0,0,0,0,0,0
22,MB2,3.967013,0.01891,1.0100989999999999,0.0,0.0,20,8,0,0,0,0,0,0
23,MB2,3.9669519999999996,0.018666000000000002,1.012356,0.0,0.0,20,8,0,0,0,0,0,0
24,MB2,3.9658539999999998,0.019703,1.011075,0.0,0.0,20,8,0,0,0,0,0,0
25,MB2,3.9664029999999997,0.021655,1.011136,0.0,0.0,20,8,0,0,0,0,0,0
26,MB2,3.967562,0.019947,1.009977,0.0,0.0,20,8,0,0,0,0,0,0
27,MB2,3.967074,0.023058,1.011258,0.0,0.0,20,8,0,0,0,0,0,0
28,MB2,3.967135,0.020252,1.0113189999999999,0.0,0.0,20,8,0,0,0,0,0,0
29,MB2,3.96683,0.020679,1.010648,0.0,0.0,19,8,0,0,0,0,0,0
30,MB2,3.967989,0.019215,1.010343,0.0,0.0,20,8,0,0,0,0,0,0
31,MB2,3.967501,0.021349999999999997,1.0107089999999999,0.0,0.0,21,8,0,0,0,0,0,0
32,MB2,3.965427,0.023485,1.011197,0.0,0.0,20,8,0,0,0,0,0,0
33,MB2,3.967196,0.024156,1.016504,0.0,0.0,20,8,0,0,0,0,0,0
34,MB2,3.966342,0.019215,1.009611,0.0,0.0,20,8,0,0,0,0,0,0
35,MB2,3.969087,0.021899000000000002,1.009367,0.0,0.0,20,8,0,0,0,0,0,0
36,MB2,3.96378,0.021227999999999997,1.011075,0.0,0.0,20,8,0,0,0,0,0,0
37,MB2,3.9684159999999995,0.017629000000000002,1.0113189999999999,0.0,0.0,20,8,0,0,0,0,0,0
